Symbol,Name,Closed Date,Quantity,Proceeds,CostBasis,Total Gain/Loss ($),Total Gain/Loss (%),Long Term Gain/Loss ($),Long Term Gain/Loss (%),Short Term Gain/Loss ($),Short Term Gain/Loss (%),Wash Sale?,Disallowed Loss,Transaction Closed Date,Transaction Cost Basis,Total Transaction Gain/Loss ($),Total Transaction Gain/Loss (%),LT Transaction Gain/Loss ($),LT Transaction Gain/Loss (%),ST Transaction Gain/Loss ($),ST Transaction Gain/Loss (%)
ALT,ALTIMMUNE INC,12/14/2020,65,$870.66,$802.10,$68.56,8.55%,--,--,$68.56,8.55%,No,,,,,,,,,
ACB,AURORA CANNABIS INC F,12/14/2020,100,$956.48,$1105.00,-$148.52,-13.44%,--,--,-$148.52,-13.44%,No,,,,,,,,,
BILI,BILIBILI INC F UNSPONSORED ADR 1 ADR REPS ORD SHS,12/22/2020,13,$1116.71,$1140.10,-$23.39,-2.05%,--,--,-$23.39,-2.05%,No,,,,,,,,,
BYDDY,BYD CO LTD F SPONSORED ADR 1 ADR REPS 2 ORD SHS,11/24/2020,21,$1095.14,$468.51,$626.63,133.75%,--,--,$626.63,133.75%,No,,,,,,,,,
IIPR 12/18/2020 165.00 C,CALL INNOVATIVE INDUSTRI $165 EXP 12/18/20,12/17/2020,1,$1859.31,$590.65,$1268.66,214.79%,--,--,$1268.66,214.79%,No,,,,,,,,,
CLLS,CELLECTIS S A F SPONSORED ADR 1 ADR REPS 1 ORD SHS,11/24/2020,30,$671.99,Missing,N/A,N/A,N/A,N/A,N/A,N/A,No,,,,,,,,,
FVRR,FIVERR INTERNTNL LTD F,11/24/2020,5,$972.73,Missing,N/A,N/A,N/A,N/A,N/A,N/A,No,,,,,,,,,
FVRR,FIVERR INTERNTNL LTD F,11/24/2020,2,$389.09,Missing,N/A,N/A,N/A,N/A,N/A,N/A,No,,,,,,,,,
NLS,NAUTILUS INC,12/14/2020,55,$942.52,$1083.59,-$141.07,-13.02%,--,--,-$141.07,-13.02%,No,,,,,,,,,
NVAX,NOVAVAX INC,12/03/2020,10,$1271.39,$1435.50,-$164.11,-11.43%,--,--,-$164.11,-11.43%,No,,,,,,,,,
OROCF,OROCOBRE LTD ORD F AUSTRALIAN SHARES,11/25/2020,238,$604.50,$633.08,-$28.58,-4.51%,--,--,-$28.58,-4.51%,No,,,,,,,,,
DOGEF,ORSTED A/S ORDF,11/27/2020,4,$670.00,$567.12,$102.88,18.14%,--,--,$102.88,18.14%,No,,,,,,,,,
SYAAF,SYRAH RESOURCES LI ORDF,12/22/2020,2000,$1303.00,$1450.00,-$147.00,-10.14%,--,--,-$147.00,-10.14%,No,,,,,,,,,
TLGRF,TALGA GROUP LTD ORDF,12/21/2020,800,$931.98,$1104.00,-$172.02,-15.58%,--,--,-$172.02,-15.58%,No,,,,,,,,,
TLGRF,TALGA GROUP LTD ORDF,12/21/2020,200,$232.09,$276.00,-$43.91,-15.91%,--,--,-$43.91,-15.91%,No,,,,,,,,,
Total,,,,$13887.59,$10655.65,$1198.13,11.24%,$0.00,N/A,$1198.13,11.24%,,,,,,,,,,
