Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2020-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,118.63999938964844,224.6699981689453,114.13999938964844,205.6699981689453,172.89999389648438,264.6499938964844,41.16999816894531,85.7300033569336,141.72000122070312,54.65352249145508,223.3525848388672,269.4607238769531,202.72000122070312,117.18000030517578,45.619998931884766,146.12461853027344,115.55999755859375,52.71665573120117,213.83901977539062,171.61000061035156,79.76013946533203,212.4199981689453,131.6451416015625,139.52999877929688,133.0287322998047,335.7918701171875,207.57000732421875,60.209999084472656,37.849998474121094,151.5659637451172
2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-24,115.16999816894531,220.4600067138672,120.38999938964844,218.49000549316406,176.89999389648438,260.8399963378906,42.61000061035156,95.62000274658203,151.49000549316406,57.01387405395508,236.21249389648438,271.82781982421875,207.88999938964844,124.41999816894531,47.0099983215332,143.8699951171875,123.31999969482422,52.80595397949219,218.41184997558594,177.0800018310547,79.51209259033203,213.86000061035156,134.42953491210938,138.30999755859375,135.53289794921875,334.8054504394531,209.67999267578125,60.63999938964844,38.52000045776367,150.80874633789062
2020-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,122.25,229.2100067138672,125.04000091552734,232.7100067138672,182.2100067138672,225.86000061035156,44.380001068115234,93.27999877929688,154.13999938964844,55.04999923706055,239.5800018310547,263.989990234375,212.67999267578125,127.19999694824219,51.9900016784668,150.27000427246094,122.33999633789062,53.849998474121094,210.74000549316406,172.4600067138672,81.2979965209961,214.36000061035156,137.19000244140625,137.47000122070312,135.30435180664062,349.8900146484375,212.67999267578125,61.54999923706055,43.40999984741211,148.36767578125
2020-12-09,121.77999877929688,229.85000610351562,121.69000244140625,232.05999755859375,180.07000732421875,220.57000732421875,44.689998626708984,90.44000244140625,154.42999267578125,54.65999984741211,242.82000732421875,265.5799865722656,212.24000549316406,126.79000091552734,50.06999969482422,153.10000610351562,121.05000305175781,53.33000183105469,208.69000244140625,175.2899932861328,82.81600952148438,211.8000030517578,138.7899932861328,136.41000366210938,134.91000366210938,344.4100036621094,209.5800018310547,61.459999084472656,41.77000045776367,147.72999572753906
2020-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14,121.77999877929688,229.4600067138672,117.36000061035156,228.6199951171875,178.0500030517578,221.27000427246094,44.2400016784668,89.44000244140625,169.3000030517578,53.060001373291016,237.7899932861328,265.5799865722656,211.85000610351562,123.52999877929688,50.470001220703125,149.07000732421875,118.30000305175781,53.27000045776367,211.9199981689453,173.0800018310547,80.31999969482422,214.1999969482422,136.27999877929688,135.85000610351562,133.99000549316406,336.1300048828125,207.25,59.97999954223633,41.47999954223633,145.64999389648438
2020-12-18,126.65499877929688,228.49000549316406,117.51000213623047,219.75,180.9600067138672,227.42999267578125,45.439998626708984,87.19000244140625,172.88999938964844,55.65999984741211,242.1300048828125,270.45001220703125,210.0399932861328,125.8499984741211,47.459999084472656,154.50999450683594,119.08000183105469,53.7400016784668,215.0800018310547,176.4199981689453,79.52999877929688,218.58999633789062,137.27999877929688,139.0399932861328,138.86000061035156,338.3800048828125,211.30999755859375,60.459999084472656,40.689998626708984,145.9499969482422
